prefecture,population,population_male,population_female
北海道,5381733,2537089,2844644
青森県,1308265,614694,693571
岩手県,1279594,615584,664010
宮城県,2333899,1140167,1193732
秋田県,1023119,480336,542783
山形県,1123891,540226,583665
福島県,1914039,945660,968379
茨城県,2916976,1453594,1463382
栃木県,1974255,981626,992629
群馬県,1973115,973283,999832
埼玉県,7266534,3628418,3638116
千葉県,6222666,3095860,3126806
東京都,13515271,6666690,6848581
神奈川県,9126214,4558978,4567236
新潟県,2304264,1115413,1188851
富山県,1066328,515147,551181
石川県,1154008,558589,595419
福井県,786740,381474,405266
山梨県,834930,408327,426603
長野県,2098804,1022129,1076675
岐阜県,2031903,983850,1048053
静岡県,3700305,1820993,1879312
愛知県,7483128,3740844,3742284
三重県,1815865,883516,932349
滋賀県,1412916,696941,715975
京都府,2610353,1248972,1361381
大阪府,8839469,4256049,4583420
兵庫県,5534800,2641561,2893239
奈良県,1364316,643946,720370
和歌山県,963579,453216,510363
鳥取県,573441,273705,299736
島根県,694352,333112,361240
岡山県,1921525,922226,999299
広島県,2843990,1376211,1467779
山口県,1404729,665008,739721
徳島県,755733,359790,395943
香川県,976263,472308,503955
愛媛県,1385262,654380,730882
高知県,728276,342672,385604
福岡県,5101556,2410418,2691138
佐賀県,832832,393073,439759
長崎県,1377187,645763,731424
熊本県,1786170,841046,945124
大分県,1166338,551932,614406
宮崎県,1104069,519242,584827
鹿児島県,1648177,773061,875116
沖縄県,1433566,704619,728947
